RMSE,MAE,MSE,R2,Inference Time
92791.56988679882,55345.076616791484,8610275442.05667,0.4480733815854405,3.2850485581618086e-05
69672.50402315927,38492.00775843409,4854257816.857144,0.6888375848368391,3.881725898155799e-05
72080.0381496996,33974.770466086076,5195531899.66215,0.6669616005268522,3.1368622413048376e-05
99763.57669158775,54208.35544389601,9952771234.298311,0.36201815979445007,2.0037174224853516e-05
69820.34749090261,36997.95864109178,4874880923.750391,0.6875156246132215,2.353660876934345e-05
103612.10469336827,56752.81491184627,10735468238.989508,0.31184655797409877,1.902451881995568e-05
76128.4566246506,44263.3251786159,5795541908.051308,0.6285004041140674,2.121767630943885e-05
66073.8950377265,37822.087586101035,4365759605.456499,0.7201507719391925,3.167423835167518e-05
85863.17820086736,50467.30603716933,7372485370.753903,0.5274168698348789,2.7878394493689905e-05
76604.72484803773,40192.68063703868,5868283869.043569,0.6238375771444215,3.490580045259916e-05
74871.63258083817,43435.17778826104,5605761365.320026,0.6406655124076921,2.0484594198373646e-05
68455.56973754683,42192.09674075817,4686165028.092136,0.6996124880449046,2.4517499483548678e-05
82867.91943148876,43495.915095972494,6867092070.903712,0.5598130477310257,2.0850585057185246e-05
78346.96649139171,43795.79467723158,6138247158.4032545,0.6065326806408118,2.1632634676419773e-05
66905.46336339903,35639.88030016029,4476341027.87113,0.7130624004993351,2.7583158933199368e-05
73648.62735357338,42561.62996616384,5424120311.065516,0.6523088719627494,2.788983858548678e-05
99772.38598102133,56216.69677675236,9954529004.345903,0.36190548510885545,3.137815915621244e-05
70920.30883945512,37093.63032126322,5029690205.883695,0.6775922064645203,2.318760064932016e-05
74970.27346360261,43185.59628590668,5620541903.207359,0.6397180662604227,1.9817242255577676e-05
69210.3957817207,38321.09722827899,4790078884.262422,0.6929515137673171,2.424309803889348e-05
94697.47041648599,52307.908727478265,8967610903.281239,0.4251678480655774,3.196239471435547e-05
74330.97895101937,40693.177474048796,5525094431.816885,0.6458363374441123,2.5885215172400843e-05
72068.23345169601,39069.00694466782,5193830272.848156,0.6670706763792533,2.3844572213979867e-05
80373.80973482518,47618.329691418105,6459949291.289879,0.5859112764202687,2.2847542395958534e-05
74975.23648984662,41612.84899986633,5621286086.708427,0.639670363409801,1.932672353891226e-05
63838.33755925613,35696.21414064819,4075333342.329531,0.7387673639849582,1.8989122830904448e-05
80626.95696143412,41422.42883367564,6500706188.8609495,0.5832987215949499,2.63061156639686e-05
87851.56673528768,48560.512322453666,7717897777.844706,0.5052756151111483,2.6318660149207483e-05
83418.41175933041,43689.1879455309,6958631420.449194,0.5539452907717388,2.1217969747690054e-05
83473.32998146907,45228.28411136352,6967796818.195224,0.5533577803002756,2.0790833693284254e-05
83072.09626403144,43869.7355603022,6900973177.700506,0.5576412374529065,2.1956553825965294e-05
62502.19672404477,34006.64554223941,3906524595.331193,0.7495881607778814,2.165974103487455e-05
102932.35856376828,60450.239096154524,10595070439.500162,0.3208461867579243,2.1538954514723557e-05
88699.75372278377,54525.81046648866,7867646310.482494,0.495676595685171,2.941450705895057e-05
81827.03410965162,43012.95756852179,6695663511.182089,0.5708017769422522,2.240588114811824e-05
81051.04192074783,43727.7452630165,6569271396.438822,0.5789036283817287,3.117154194758488e-05
62045.25608792834,31095.44861535485,3849613803.016609,0.7532361951949986,1.8297818990854116e-05
81238.08947709706,46334.431455378966,6599627181.888827,0.5769577944620723,2.0508656134972205e-05
85276.49961481159,48063.06782363165,7272081386.554961,0.5338528580732569,2.1716154538668117e-05
80076.45137830339,38110.34386501375,6412238065.341786,0.5889696101257528,1.8632045158973106e-05
75129.32723528467,38375.84122604198,5644415810.826488,0.6381877267040125,1.7614401303804838e-05
73330.03199497244,40684.28846210847,5377293592.38368,0.6553105079344952,2.162782962505634e-05
66413.25532613948,36976.815026755685,4410720483.014994,0.7172687381089387,1.822974131657527e-05
66561.59890444555,36812.579627321626,4430446448.716288,0.7160042854653801,1.957071744478666e-05
76460.20492824273,43247.45213948514,5846162937.668874,0.6252555493024525,2.200020276583158e-05
87448.24145084301,50077.1915273015,7647194932.844937,0.5098077328599493,1.826924544114333e-05
78804.59794021776,43292.364986023225,6210164656.519373,0.6019227025039702,1.866780794583834e-05
67616.33624792975,36769.61273043336,4571968927.593098,0.706932563692741,1.6891039334810696e-05
78329.0735010714,41872.25715220654,6135443755.536245,0.6067123813571076,1.9741095029390776e-05
78226.50775570505,44157.70195405137,6119386515.653382,0.6077416652829541,1.7060499924879806e-05
83568.64883478869,48698.647872177346,6983719068.072228,0.5523371493586401,1.83718021099384e-05
71662.08030418877,44781.41204978417,5135453753.523999,0.6708126652531539,2.1327789013202373e-05
70797.23140494163,37102.28478019469,5012247974.604854,0.6787102696196563,1.807986772977389e-05
104593.966530317,63005.569360696856,10939897834.545073,0.2987424318473406,1.8209090599646933e-05
100130.24816318335,59514.188322199545,10026066597.220684,0.357319859249311,1.8691172966590294e-05
79814.54347602215,43603.94631247733,6370361350.28583,0.5916539462874335,1.9077374384953425e-05
78532.0368138502,43130.48160269578,6167280806.131923,0.6046715969717746,2.348489027756911e-05
72984.89338518489,40618.26504194695,5326794662.446805,0.6585475360436628,1.9637548006497896e-05
75265.3870506036,39252.15153673689,5664878487.87717,0.6368760501816648,1.889646970308744e-05
75788.75424309475,38710.73107408177,5743935269.720212,0.6318084373556871,2.1488446455735427e-05
76769.0664844964,42109.51822158592,5893489568.901029,0.6222218684739242,2.3426055908203125e-05
61519.98662282432,31178.369895016775,3784708754.072483,0.7573966688549685,3.1880672161395736e-05
75618.81761127162,40802.12034228993,5718205576.926762,0.6334577344579575,2.5955640352689302e-05
76063.28565081299,41095.09138643351,5785623423.997173,0.6291361881143165,2.8793518359844503e-05
75675.33392384693,43748.99756525918,5726756164.485739,0.6329096338880462,3.535145979661208e-05
106162.11527443309,62998.38721260013,11270394719.542019,0.27755727588334744,2.8751850128173827e-05
75527.67122664634,41452.06515265902,5704429120.9203825,0.6343408180281065,2.30711790231558e-05
