RMSE,MAE,MSE,R2,Inference Time
4720.734484578923,2210.8374224488243,22285334.073892627,0.6990606634871581,3.709144173108498e-05
4872.158229706919,2203.914922120725,23737925.81530086,0.6794449829039562,2.466572260420381e-05
4819.514465486802,2226.1914392764647,23227719.683036532,0.6863347649650777,3.1459947948713766e-05
4807.216486920136,2308.799078710981,23109330.352116775,0.6879334848487042,3.206011503579224e-05
4700.949889916998,2203.0973349423007,22098929.867510628,0.7015778507101902,3.126226395202612e-05
4657.629437882116,2273.911292987573,21693511.980626073,0.7070525808392039,2.2992648202081284e-05
5000.440689129295,2334.1029396271574,25004407.085499853,0.6623425229679336,2.2335849589740084e-05
4862.40977788288,2258.788739249885,23643028.84805104,0.6807264638217,2.2994156100015937e-05
4830.748934494351,2248.5075701910714,23336135.268118307,0.6848707297330288,2.2632004537559638e-05
4851.398424181247,2333.9842067518903,23536066.670148287,0.6821708723615627,2.259054919890022e-05
