RMSE,MAE,MSE,R2,Inference Time
6801.196178838301,1411.962093263012,46256269.46304472,0.6115159508694251,0.0018152803247556465
6399.070695252421,1394.1602510246796,40948105.7628383,0.6560966520725695,0.001977191364408508
6688.976414996574,1456.432478840192,44742405.48038042,0.6242301627296838,0.0014870753967575396
6601.009801014829,1342.9082590959285,43573330.39309383,0.6340486593122847,0.0014544196806261982
6481.926771140256,1364.1016360318936,42015374.66642475,0.6471331764185793,0.0027606311306425293
6588.04807609822,1284.9761804850755,43402377.45298146,0.6354844104257353,0.0013863317371713825
6554.330212720268,1338.1123189139853,42959244.537377715,0.6392060695944306,0.0012718404853417184
6908.019474391621,1432.6505686483092,47720733.05857389,0.5992166289829073,0.001498843221964873
7171.134481022543,1436.7916144583746,51425169.74491045,0.5681048558035846,0.001360709463602863
6989.514491201101,1368.2208625938508,48853312.822710186,0.5897046389793352,0.0013643208649788182
